Reference,Qty,MPN,Qty,Digi-Key,Mouser,Newark,Farnell,RS Components
LCD,1,54104-5031,1,,538-54104-5031,,,
"C8,C10",2,04026D104KAT2A,2,478-7884-1-ND,,,,
"C9,C11",2,GRM155R60J106ME05D,2,490-GRM155R60J106ME05DCT-ND,,,,
"C1,C2,C3,C7",4,C1608X6S0J105K080AC,4,445-14193-1-ND,,,,
RTC_BAT,1,2894,1,,,52AH8320,,
USB,1,USB3080-30-00-A,1,,640-USB3080-30-00-A,,,
U2_PRESSURE,1,MS583730BA01-50,1,,,,,2006130
"R1,R15,R4,R5",4,CRCW040210K0FKEDC,4,,71-CRCW040210K0FKEDC,,,
R16,1,CRCW04021K00FKEDC,1,541-3961-1-ND,,,,
R2,1,CR0603-FX-1603ELF,1,,652-CR0603FX-1603ELF,,,
R3,1,AC0603FR-07442KL,1,,603-AC0603FR-07442KL,,,
RN1,10,YC164-JR-0710KL,10,,,,9234560,
BAT,1,1769,1,CM1769-ND,,,,
U6_TEMPT,1,TEMT6000X01,1,751-1055-1-ND,,,,
U11_RTC,1,DS3231M+,1,,,73Y1622,,
Q2,1,MMBT2222A-TP,1,,833-MMBT2222A-TP,,,
IC1,1,MLX90393SLQ-ABA-011-SP,1,,482-90393SLQABA011SP,,,
U4,1,ADXL345BCCZ-RL7,1,ADXL345BCCZ-RL7CT-ND,,,,
S1,1,PTS636 SM50J SMTR LFS,1,,611-PTS636SM50JSMTRL,,,
